                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.46222,                0.28966,                0.83456,                0.56197,                0.24802,                0.85604,                0.96535,                0.90641,                 0.9613,                0.81608,                0.54525,                0.35395,                0.85032,                 0.6296,                0.32836,                0.86889,              0.0006338,              0.0006338,              0.0006338
                     72,                0.44075,                 0.2893,                0.84162,                0.51252,                0.24172,                0.86278,                0.93461,                0.91622,                0.95888,                0.80915,                0.56683,                0.36748,                 0.8568,                0.65194,                0.36412,                0.87743,               0.000614,               0.000614,               0.000614
                     73,                0.44218,                0.29184,                0.82666,                 0.5078,                0.24428,                0.84262,                0.91777,                0.90152,                0.95188,                0.79708,                0.58078,                0.39326,                0.86739,                0.67661,                0.38739,                0.89783,              0.0005942,              0.0005942,              0.0005942
                     74,                0.43814,                0.28282,                0.83121,                0.51155,                0.25082,                0.85208,                0.90389,                    0.9,                0.94693,                0.78663,                0.58062,                0.40433,                0.87546,                0.68979,                0.43534,                0.90863,              0.0005744,              0.0005744,              0.0005744
                     75,                0.44084,                0.28757,                 0.8411,                0.52046,                0.26473,                0.86502,                0.91005,                0.92821,                0.95799,                0.81098,                0.55156,                0.35997,                0.85007,                0.64341,                0.38998,                  0.872,              0.0005546,              0.0005546,              0.0005546
                     76,                0.42185,                0.27472,                0.82049,                0.49859,                0.23514,                0.83859,                0.92097,                0.92629,                0.95977,                0.82821,                0.52315,                0.33755,                 0.8394,                0.60759,                0.35532,                0.86113,              0.0005348,              0.0005348,              0.0005348
                     77,                0.41732,                0.27697,                0.82629,                 0.4965,                0.24409,                 0.8423,                0.91768,                0.92949,                0.96008,                  0.829,                0.52315,                0.33249,                0.83926,                0.60975,                0.35456,                0.86168,               0.000515,               0.000515,               0.000515
                     78,                0.39861,                0.26807,                0.82803,                  0.459,                0.24078,                0.84572,                0.91595,                0.93077,                0.96052,                0.82794,                0.54242,                0.33336,                0.83926,                0.62358,                0.35944,                0.86072,              0.0004952,              0.0004952,              0.0004952
                     79,                0.40755,                0.26717,                0.81994,                0.48187,                0.22418,                0.83536,                0.91544,                0.92986,                0.96101,                0.83155,                0.51698,                0.32904,                0.83431,                0.60976,                0.35048,                0.85914,              0.0004754,              0.0004754,              0.0004754
                     80,                0.40583,                0.25833,                0.82139,                0.47937,                0.21859,                0.83866,                0.93227,                0.92179,                0.96206,                 0.8303,                 0.5193,                0.32879,                0.83537,                0.61848,                0.34241,                0.86297,              0.0004556,              0.0004556,              0.0004556
